title,text,type,combined_text,cleaned_text,label
Your Package Delivery Failed,Redeliver your package here: http://scam-site.com,spam,Your Package Delivery Failed Redeliver your package here: http://scam-site.com,your package delivery failed redeliver your package here:,1
Project Update,Here's the status update on project Mike. Review attached.,not spam,Project Update Here's the status update on project Mike. Review attached.,project update here's the status update on project mike. review attached.,0
Make Money From Home,Earn $1000000 per week working from home! http://scam-site.com,spam,Make Money From Home Earn $1000000 per week working from home! http://scam-site.com,make money from home earn $1000000 per week working from home!,1
Flight Confirmation,Flight UA456 on Dec 5. ORD to MIA. Seat 15B.,not spam,Flight Confirmation Flight UA456 on Dec 5. ORD to MIA. Seat 15B.,flight confirmation flight ua456 on dec 5. ord to mia. seat 15b.,0
Weekend Plans,Going hiking this Tuesday. Want to join? Meeting at 9:00 AM.,not spam,Weekend Plans Going hiking this Tuesday. Want to join? Meeting at 9:00 AM.,weekend plans going hiking this tuesday. want to join? meeting at 9:00 am.,0
URGENT: Account Suspended,Your account will be closed unless you verify: http://scam-site.com,spam,URGENT: Account Suspended Your account will be closed unless you verify: http://scam-site.com,urgent: account suspended your account will be closed unless you verify:,1
Recipe Shared,"Here's that lasagna recipe you asked for: flour, eggs, milk",not spam,"Recipe Shared Here's that lasagna recipe you asked for: flour, eggs, milk","recipe shared here's that lasagna recipe you asked for: flour, eggs, milk",0
Your Computer Has Virus,URGENT! 50 viruses detected! Fix now: http://scam-site.com,spam,Your Computer Has Virus URGENT! 50 viruses detected! Fix now: http://scam-site.com,your computer has virus urgent! 50 viruses detected! fix now:,1
Work From Home Assembly,Assemble products at home! $45/hour! http://scam-site.com,spam,Work From Home Assembly Assemble products at home! $45/hour! http://scam-site.com,work from home assembly assemble products at home! $45/hour!,1
WIN BIG MONEY!,You've won $25000! Click here to claim: http://scam-site.com,spam,WIN BIG MONEY! You've won $25000! Click here to claim: http://scam-site.com,win big money! you've won $25000! click here to claim:,1
Make Money From Home,Earn $1000 per day working from home! http://scam-site.com,spam,Make Money From Home Earn $1000 per day working from home! http://scam-site.com,make money from home earn $1000 per day working from home!,1
URGENT: Account Suspended,Your account will be closed unless you verify: http://scam-site.com,spam,URGENT: Account Suspended Your account will be closed unless you verify: http://scam-site.com,urgent: account suspended your account will be closed unless you verify:,1
Utility Bill,Your gas bill is $132. Due: Dec 5. Pay at utility.com,not spam,Utility Bill Your gas bill is $132. Due: Dec 5. Pay at utility.com,utility bill your gas bill is $132. due: dec 5. pay at utility.com,0
Work From Home Assembly,Assemble products at home! $45/hour! http://scam-site.com,spam,Work From Home Assembly Assemble products at home! $45/hour! http://scam-site.com,work from home assembly assemble products at home! $45/hour!,1
Flight Confirmation,Flight AA123 on Nov 26. JFK to BOS. Seat 20A.,not spam,Flight Confirmation Flight AA123 on Nov 26. JFK to BOS. Seat 20A.,flight confirmation flight aa123 on nov 26. jfk to bos. seat 20a.,0
Utility Bill,Your gas bill is $109. Due: Dec 1. Pay at utility.com,not spam,Utility Bill Your gas bill is $109. Due: Dec 1. Pay at utility.com,utility bill your gas bill is $109. due: dec 1. pay at utility.com,0
Cheap Medications,Buy Cialis without prescription! Huge discounts! http://scam-site.com,spam,Cheap Medications Buy Cialis without prescription! Huge discounts! http://scam-site.com,cheap medications buy cialis without prescription! huge discounts!,1
Parent-Teacher Conference,Conference scheduled Dec 5 at 5:00 PM. Please confirm.,not spam,Parent-Teacher Conference Conference scheduled Dec 5 at 5:00 PM. Please confirm.,parent-teacher conference conference scheduled dec 5 at 5:00 pm. please confirm.,0
Bitcoin Investment,Make 30% returns with our crypto bot! http://scam-site.com,spam,Bitcoin Investment Make 30% returns with our crypto bot! http://scam-site.com,bitcoin investment make 30% returns with our crypto bot!,1
Book Club Meeting,Book club meets Saturday at 2:00 PM. We're discussing '1984'.,not spam,Book Club Meeting Book club meets Saturday at 2:00 PM. We're discussing '1984'.,book club meeting book club meets saturday at 2:00 pm. we're discussing '1984'.,0
Gym Membership Renewal,Your gym membership expires Nov 26. Renew at front desk.,not spam,Gym Membership Renewal Your gym membership expires Nov 26. Renew at front desk.,gym membership renewal your gym membership expires nov 26. renew at front desk.,0
Appointment Reminder,Your appointment with Dr. Williams is on Dec 1 at 10:30 AM.,not spam,Appointment Reminder Your appointment with Dr. Williams is on Dec 1 at 10:30 AM.,appointment reminder your appointment with dr. williams is on dec 1 at 10:30 am.,0
WIN BIG MONEY!,You've won $1000000! Click here to claim: http://scam-site.com,spam,WIN BIG MONEY! You've won $1000000! Click here to claim: http://scam-site.com,win big money! you've won $1000000! click here to claim:,1
Dinner Plans,Want to grab dinner Monday? Let me know! - Mike,not spam,Dinner Plans Want to grab dinner Monday? Let me know! - Mike,dinner plans want to grab dinner monday? let me know! - mike,0
Appointment Reminder,Your appointment with Dr. Johnson is on Dec 1 at 3:30 PM.,not spam,Appointment Reminder Your appointment with Dr. Johnson is on Dec 1 at 3:30 PM.,appointment reminder your appointment with dr. johnson is on dec 1 at 3:30 pm.,0
Code Review Request,Can you review PR #DL789 when you get a chance? Thanks!,not spam,Code Review Request Can you review PR #DL789 when you get a chance? Thanks!,code review request can you review pr #dl789 when you get a chance? thanks!,0
Gym Membership Renewal,Your gym membership expires Nov 27. Renew at front desk.,not spam,Gym Membership Renewal Your gym membership expires Nov 27. Renew at front desk.,gym membership renewal your gym membership expires nov 27. renew at front desk.,0
Enlarge Your Size,Grow 2 inches naturally! Guaranteed! http://scam-site.com,spam,Enlarge Your Size Grow 2 inches naturally! Guaranteed! http://scam-site.com,enlarge your size grow 2 inches naturally! guaranteed!,1
URGENT: Account Suspended,Your account will be closed unless you verify: http://scam-site.com,spam,URGENT: Account Suspended Your account will be closed unless you verify: http://scam-site.com,urgent: account suspended your account will be closed unless you verify:,1
Recipe Shared,"Here's that apple pie recipe you asked for: chicken, vegetables, broth",not spam,"Recipe Shared Here's that apple pie recipe you asked for: chicken, vegetables, broth","recipe shared here's that apple pie recipe you asked for: chicken, vegetables, broth",0
Nigerian Prince Email,I need your help transferring $100000. You get 50%!,spam,Nigerian Prince Email I need your help transferring $100000. You get 50%!,nigerian prince email i need your help transferring $100000. you get 50%!,1
Project Update,Here's the status update on project John. Review attached.,not spam,Project Update Here's the status update on project John. Review attached.,project update here's the status update on project john. review attached.,0
Tax Refund Available,Claim your $10000 tax refund now: http://scam-site.com,spam,Tax Refund Available Claim your $10000 tax refund now: http://scam-site.com,tax refund available claim your $10000 tax refund now:,1
Code Review Request,Can you review PR #DL789 when you get a chance? Thanks!,not spam,Code Review Request Can you review PR #DL789 when you get a chance? Thanks!,code review request can you review pr #dl789 when you get a chance? thanks!,0
Lose Weight Fast,Lose 1000 pounds in 30 days! No exercise! http://scam-site.com,spam,Lose Weight Fast Lose 1000 pounds in 30 days! No exercise! http://scam-site.com,lose weight fast lose 1000 pounds in 30 days! no exercise!,1
Recipe Shared,"Here's that chicken soup recipe you asked for: flour, eggs, milk",not spam,"Recipe Shared Here's that chicken soup recipe you asked for: flour, eggs, milk","recipe shared here's that chicken soup recipe you asked for: flour, eggs, milk",0
Free iPhone Giveaway,Get a FREE iPhone 14! Limited time! http://scam-site.com,spam,Free iPhone Giveaway Get a FREE iPhone 14! Limited time! http://scam-site.com,free iphone giveaway get a free iphone 14! limited time!,1
Your Computer Has Virus,URGENT! 1000 viruses detected! Fix now: http://scam-site.com,spam,Your Computer Has Virus URGENT! 1000 viruses detected! Fix now: http://scam-site.com,your computer has virus urgent! 1000 viruses detected! fix now:,1
Project Update,Here's the status update on project John. Review attached.,not spam,Project Update Here's the status update on project John. Review attached.,project update here's the status update on project john. review attached.,0
Enlarge Your Size,Grow 4 inches naturally! Guaranteed! http://scam-site.com,spam,Enlarge Your Size Grow 4 inches naturally! Guaranteed! http://scam-site.com,enlarge your size grow 4 inches naturally! guaranteed!,1
Your Package Delivery Failed,Redeliver your package here: http://scam-site.com,spam,Your Package Delivery Failed Redeliver your package here: http://scam-site.com,your package delivery failed redeliver your package here:,1
Weekend Plans,Going hiking this Friday. Want to join? Meeting at 3:30 PM.,not spam,Weekend Plans Going hiking this Friday. Want to join? Meeting at 3:30 PM.,weekend plans going hiking this friday. want to join? meeting at 3:30 pm.,0
Free Gift Card,You won a $25000 Walmart gift card! Claim: http://scam-site.com,spam,Free Gift Card You won a $25000 Walmart gift card! Claim: http://scam-site.com,free gift card you won a $25000 walmart gift card! claim:,1
Class Reminder,English 201 class is at 5:00 PM in room 201. Don't forget homework!,not spam,Class Reminder English 201 class is at 5:00 PM in room 201. Don't forget homework!,class reminder english 201 class is at 5:00 pm in room 201. don't forget homework!,0
Tax Refund Available,Claim your $25000 tax refund now: http://scam-site.com,spam,Tax Refund Available Claim your $25000 tax refund now: http://scam-site.com,tax refund available claim your $25000 tax refund now:,1
Happy Birthday,Happy birthday! Hope you have an amazing day! - John,not spam,Happy Birthday Happy birthday! Hope you have an amazing day! - John,happy birthday happy birthday! hope you have an amazing day! - john,0
Enlarge Your Size,Grow 4 inches naturally! Guaranteed! http://scam-site.com,spam,Enlarge Your Size Grow 4 inches naturally! Guaranteed! http://scam-site.com,enlarge your size grow 4 inches naturally! guaranteed!,1
Free Gift Card,You won a $1000000 Walmart gift card! Claim: http://scam-site.com,spam,Free Gift Card You won a $1000000 Walmart gift card! Claim: http://scam-site.com,free gift card you won a $1000000 walmart gift card! claim:,1
Hot Singles Near You,Meet 20 singles in your area tonight! http://scam-site.com,spam,Hot Singles Near You Meet 20 singles in your area tonight! http://scam-site.com,hot singles near you meet 20 singles in your area tonight!,1
Work From Home Assembly,Assemble products at home! $35/hour! http://scam-site.com,spam,Work From Home Assembly Assemble products at home! $35/hour! http://scam-site.com,work from home assembly assemble products at home! $35/hour!,1
WIN BIG MONEY!,You've won $100000! Click here to claim: http://scam-site.com,spam,WIN BIG MONEY! You've won $100000! Click here to claim: http://scam-site.com,win big money! you've won $100000! click here to claim:,1
Nigerian Prince Email,I need your help transferring $100000. You get 300%!,spam,Nigerian Prince Email I need your help transferring $100000. You get 300%!,nigerian prince email i need your help transferring $100000. you get 300%!,1
Your Order Confirmation,Order #883579285 confirmed. Delivery: Nov 26. Track: 1Z999AA10123453625,not spam,Your Order Confirmation Order #883579285 confirmed. Delivery: Nov 26. Track: 1Z999AA10123453625,your order confirmation order #883579285 confirmed. delivery: nov 26. track: 1z999aa10123453625,0
Lose Weight Fast,Lose 10000 pounds in 7 days! No exercise! http://scam-site.com,spam,Lose Weight Fast Lose 10000 pounds in 7 days! No exercise! http://scam-site.com,lose weight fast lose 10000 pounds in 7 days! no exercise!,1
Utility Bill,Your electric bill is $127. Due: Nov 27. Pay at paybill.com,not spam,Utility Bill Your electric bill is $127. Due: Nov 27. Pay at paybill.com,utility bill your electric bill is $127. due: nov 27. pay at paybill.com,0
Project Update,Here's the status update on project Sarah. Review attached.,not spam,Project Update Here's the status update on project Sarah. Review attached.,project update here's the status update on project sarah. review attached.,0
Book Club Meeting,Book club meets this weekend at 3:30 PM. We're discussing 'The Great Gatsby'.,not spam,Book Club Meeting Book club meets this weekend at 3:30 PM. We're discussing 'The Great Gatsby'.,book club meeting book club meets this weekend at 3:30 pm. we're discussing 'the great gatsby'.,0
Bitcoin Investment,Make 300% returns with our crypto bot! http://scam-site.com,spam,Bitcoin Investment Make 300% returns with our crypto bot! http://scam-site.com,bitcoin investment make 300% returns with our crypto bot!,1
Your Package Delivery Failed,Redeliver your package here: http://scam-site.com,spam,Your Package Delivery Failed Redeliver your package here: http://scam-site.com,your package delivery failed redeliver your package here:,1
Code Review Request,Can you review PR #AA123 when you get a chance? Thanks!,not spam,Code Review Request Can you review PR #AA123 when you get a chance? Thanks!,code review request can you review pr #aa123 when you get a chance? thanks!,0
Appointment Reminder,Your appointment with Dr. Johnson is on Nov 27 at 10:30 AM.,not spam,Appointment Reminder Your appointment with Dr. Johnson is on Nov 27 at 10:30 AM.,appointment reminder your appointment with dr. johnson is on nov 27 at 10:30 am.,0
Code Review Request,Can you review PR #UA456 when you get a chance? Thanks!,not spam,Code Review Request Can you review PR #UA456 when you get a chance? Thanks!,code review request can you review pr #ua456 when you get a chance? thanks!,0
Your Package Delivery Failed,Redeliver your package here: http://scam-site.com,spam,Your Package Delivery Failed Redeliver your package here: http://scam-site.com,your package delivery failed redeliver your package here:,1
Bitcoin Investment,Make 100% returns with our crypto bot! http://scam-site.com,spam,Bitcoin Investment Make 100% returns with our crypto bot! http://scam-site.com,bitcoin investment make 100% returns with our crypto bot!,1
Your Computer Has Virus,URGENT! 100 viruses detected! Fix now: http://scam-site.com,spam,Your Computer Has Virus URGENT! 100 viruses detected! Fix now: http://scam-site.com,your computer has virus urgent! 100 viruses detected! fix now:,1
Work From Home Assembly,Assemble products at home! $35/hour! http://scam-site.com,spam,Work From Home Assembly Assemble products at home! $35/hour! http://scam-site.com,work from home assembly assemble products at home! $35/hour!,1
Happy Birthday,Happy birthday! Hope you have an amazing day! - Mike,not spam,Happy Birthday Happy birthday! Hope you have an amazing day! - Mike,happy birthday happy birthday! hope you have an amazing day! - mike,0
Nigerian Prince Email,I need your help transferring $100000. You get 300%!,spam,Nigerian Prince Email I need your help transferring $100000. You get 300%!,nigerian prince email i need your help transferring $100000. you get 300%!,1
Bitcoin Investment,Make 50% returns with our crypto bot! http://scam-site.com,spam,Bitcoin Investment Make 50% returns with our crypto bot! http://scam-site.com,bitcoin investment make 50% returns with our crypto bot!,1
Class Reminder,Biology 102 class is at 3:30 PM in room B12. Don't forget homework!,not spam,Class Reminder Biology 102 class is at 3:30 PM in room B12. Don't forget homework!,class reminder biology 102 class is at 3:30 pm in room b12. don't forget homework!,0
Make Money From Home,Earn $1000000 per week working from home! http://scam-site.com,spam,Make Money From Home Earn $1000000 per week working from home! http://scam-site.com,make money from home earn $1000000 per week working from home!,1
Book Club Meeting,Book club meets Monday at 2:00 PM. We're discussing 'To Kill a Mockingbird'.,not spam,Book Club Meeting Book club meets Monday at 2:00 PM. We're discussing 'To Kill a Mockingbird'.,book club meeting book club meets monday at 2:00 pm. we're discussing 'to kill a mockingbird'.,0
Lose Weight Fast,Lose 30 pounds in 14 days! No exercise! http://scam-site.com,spam,Lose Weight Fast Lose 30 pounds in 14 days! No exercise! http://scam-site.com,lose weight fast lose 30 pounds in 14 days! no exercise!,1
Lose Weight Fast,Lose 10 pounds in 30 days! No exercise! http://scam-site.com,spam,Lose Weight Fast Lose 10 pounds in 30 days! No exercise! http://scam-site.com,lose weight fast lose 10 pounds in 30 days! no exercise!,1
Happy Birthday,Happy birthday! Hope you have an amazing day! - Sarah,not spam,Happy Birthday Happy birthday! Hope you have an amazing day! - Sarah,happy birthday happy birthday! hope you have an amazing day! - sarah,0
WIN BIG MONEY!,You've won $5000! Click here to claim: http://scam-site.com,spam,WIN BIG MONEY! You've won $5000! Click here to claim: http://scam-site.com,win big money! you've won $5000! click here to claim:,1
Project Update,Here's the status update on project Lisa. Review attached.,not spam,Project Update Here's the status update on project Lisa. Review attached.,project update here's the status update on project lisa. review attached.,0
Bitcoin Investment,Make 300% returns with our crypto bot! http://scam-site.com,spam,Bitcoin Investment Make 300% returns with our crypto bot! http://scam-site.com,bitcoin investment make 300% returns with our crypto bot!,1
Free Gift Card,You won a $1000 Walmart gift card! Claim: http://scam-site.com,spam,Free Gift Card You won a $1000 Walmart gift card! Claim: http://scam-site.com,free gift card you won a $1000 walmart gift card! claim:,1
Project Update,Here's the status update on project Emily. Review attached.,not spam,Project Update Here's the status update on project Emily. Review attached.,project update here's the status update on project emily. review attached.,0
Bitcoin Investment,Make 300% returns with our crypto bot! http://scam-site.com,spam,Bitcoin Investment Make 300% returns with our crypto bot! http://scam-site.com,bitcoin investment make 300% returns with our crypto bot!,1
Hot Singles Near You,Meet 10000 singles in your area tonight! http://scam-site.com,spam,Hot Singles Near You Meet 10000 singles in your area tonight! http://scam-site.com,hot singles near you meet 10000 singles in your area tonight!,1
Gym Membership Renewal,Your gym membership expires Nov 26. Renew at front desk.,not spam,Gym Membership Renewal Your gym membership expires Nov 26. Renew at front desk.,gym membership renewal your gym membership expires nov 26. renew at front desk.,0
Meeting Reminder,Team meeting tomorrow at 3:30 PM in Conference Room A. See you there!,not spam,Meeting Reminder Team meeting tomorrow at 3:30 PM in Conference Room A. See you there!,meeting reminder team meeting tomorrow at 3:30 pm in conference room a. see you there!,0
Utility Bill,Your water bill is $178. Due: Nov 25. Pay at company.gov,not spam,Utility Bill Your water bill is $178. Due: Nov 25. Pay at company.gov,utility bill your water bill is $178. due: nov 25. pay at company.gov,0
Hot Singles Near You,Meet 10 singles in your area tonight! http://scam-site.com,spam,Hot Singles Near You Meet 10 singles in your area tonight! http://scam-site.com,hot singles near you meet 10 singles in your area tonight!,1
Appointment Reminder,Your appointment with Dr. Smith is on Nov 26 at 9:00 AM.,not spam,Appointment Reminder Your appointment with Dr. Smith is on Nov 26 at 9:00 AM.,appointment reminder your appointment with dr. smith is on nov 26 at 9:00 am.,0
Nigerian Prince Email,I need your help transferring $100000. You get 300%!,spam,Nigerian Prince Email I need your help transferring $100000. You get 300%!,nigerian prince email i need your help transferring $100000. you get 300%!,1
Happy Birthday,Happy birthday! Hope you have an amazing day! - Sarah,not spam,Happy Birthday Happy birthday! Hope you have an amazing day! - Sarah,happy birthday happy birthday! hope you have an amazing day! - sarah,0
WIN BIG MONEY!,You've won $1000000! Click here to claim: http://scam-site.com,spam,WIN BIG MONEY! You've won $1000000! Click here to claim: http://scam-site.com,win big money! you've won $1000000! click here to claim:,1
Lose Weight Fast,Lose 50 pounds in 14 days! No exercise! http://scam-site.com,spam,Lose Weight Fast Lose 50 pounds in 14 days! No exercise! http://scam-site.com,lose weight fast lose 50 pounds in 14 days! no exercise!,1
Happy Birthday,Happy birthday! Hope you have an amazing day! - Sarah,not spam,Happy Birthday Happy birthday! Hope you have an amazing day! - Sarah,happy birthday happy birthday! hope you have an amazing day! - sarah,0
Utility Bill,Your water bill is $198. Due: Dec 5. Pay at paybill.com,not spam,Utility Bill Your water bill is $198. Due: Dec 5. Pay at paybill.com,utility bill your water bill is $198. due: dec 5. pay at paybill.com,0
Your Computer Has Virus,URGENT! 20 viruses detected! Fix now: http://scam-site.com,spam,Your Computer Has Virus URGENT! 20 viruses detected! Fix now: http://scam-site.com,your computer has virus urgent! 20 viruses detected! fix now:,1
Parent-Teacher Conference,Conference scheduled Nov 26 at 10:30 AM. Please confirm.,not spam,Parent-Teacher Conference Conference scheduled Nov 26 at 10:30 AM. Please confirm.,parent-teacher conference conference scheduled nov 26 at 10:30 am. please confirm.,0
Meeting Reminder,Team meeting tomorrow at 10:30 AM in Room 301. See you there!,not spam,Meeting Reminder Team meeting tomorrow at 10:30 AM in Room 301. See you there!,meeting reminder team meeting tomorrow at 10:30 am in room 301. see you there!,0
Nigerian Prince Email,I need your help transferring $5000. You get 300%!,spam,Nigerian Prince Email I need your help transferring $5000. You get 300%!,nigerian prince email i need your help transferring $5000. you get 300%!,1
Dinner Plans,Want to grab dinner this weekend? Let me know! - Lisa,not spam,Dinner Plans Want to grab dinner this weekend? Let me know! - Lisa,dinner plans want to grab dinner this weekend? let me know! - lisa,0
Bitcoin Investment,Make 300% returns with our crypto bot! http://scam-site.com,spam,Bitcoin Investment Make 300% returns with our crypto bot! http://scam-site.com,bitcoin investment make 300% returns with our crypto bot!,1
Your Package Delivery Failed,Redeliver your package here: http://scam-site.com,spam,Your Package Delivery Failed Redeliver your package here: http://scam-site.com,your package delivery failed redeliver your package here:,1
Hot Singles Near You,Meet 10000 singles in your area tonight! http://scam-site.com,spam,Hot Singles Near You Meet 10000 singles in your area tonight! http://scam-site.com,hot singles near you meet 10000 singles in your area tonight!,1
Weekend Plans,Going hiking this this weekend. Want to join? Meeting at 9:00 AM.,not spam,Weekend Plans Going hiking this this weekend. Want to join? Meeting at 9:00 AM.,weekend plans going hiking this this weekend. want to join? meeting at 9:00 am.,0
Flight Confirmation,Flight DL789 on Dec 5. ORD to MIA. Seat 27C.,not spam,Flight Confirmation Flight DL789 on Dec 5. ORD to MIA. Seat 27C.,flight confirmation flight dl789 on dec 5. ord to mia. seat 27c.,0
Code Review Request,Can you review PR #AA123 when you get a chance? Thanks!,not spam,Code Review Request Can you review PR #AA123 when you get a chance? Thanks!,code review request can you review pr #aa123 when you get a chance? thanks!,0
Make Money From Home,Earn $5000 per month working from home! http://scam-site.com,spam,Make Money From Home Earn $5000 per month working from home! http://scam-site.com,make money from home earn $5000 per month working from home!,1
Work From Home Assembly,Assemble products at home! $25/hour! http://scam-site.com,spam,Work From Home Assembly Assemble products at home! $25/hour! http://scam-site.com,work from home assembly assemble products at home! $25/hour!,1
Lose Weight Fast,Lose 10000 pounds in 7 days! No exercise! http://scam-site.com,spam,Lose Weight Fast Lose 10000 pounds in 7 days! No exercise! http://scam-site.com,lose weight fast lose 10000 pounds in 7 days! no exercise!,1
Work From Home Assembly,Assemble products at home! $45/hour! http://scam-site.com,spam,Work From Home Assembly Assemble products at home! $45/hour! http://scam-site.com,work from home assembly assemble products at home! $45/hour!,1
Lose Weight Fast,Lose 1000 pounds in 7 days! No exercise! http://scam-site.com,spam,Lose Weight Fast Lose 1000 pounds in 7 days! No exercise! http://scam-site.com,lose weight fast lose 1000 pounds in 7 days! no exercise!,1
Nigerian Prince Email,I need your help transferring $1000. You get 200%!,spam,Nigerian Prince Email I need your help transferring $1000. You get 200%!,nigerian prince email i need your help transferring $1000. you get 200%!,1
Code Review Request,Can you review PR #AA123 when you get a chance? Thanks!,not spam,Code Review Request Can you review PR #AA123 when you get a chance? Thanks!,code review request can you review pr #aa123 when you get a chance? thanks!,0
Free Gift Card,You won a $100000 Walmart gift card! Claim: http://scam-site.com,spam,Free Gift Card You won a $100000 Walmart gift card! Claim: http://scam-site.com,free gift card you won a $100000 walmart gift card! claim:,1
Parent-Teacher Conference,Conference scheduled Dec 1 at 10:30 AM. Please confirm.,not spam,Parent-Teacher Conference Conference scheduled Dec 1 at 10:30 AM. Please confirm.,parent-teacher conference conference scheduled dec 1 at 10:30 am. please confirm.,0
Flight Confirmation,Flight UA456 on Dec 5. LAX to MIA. Seat 20B.,not spam,Flight Confirmation Flight UA456 on Dec 5. LAX to MIA. Seat 20B.,flight confirmation flight ua456 on dec 5. lax to mia. seat 20b.,0
Your Package Delivery Failed,Redeliver your package here: http://scam-site.com,spam,Your Package Delivery Failed Redeliver your package here: http://scam-site.com,your package delivery failed redeliver your package here:,1
Book Club Meeting,Book club meets Saturday at 9:00 AM. We're discussing 'To Kill a Mockingbird'.,not spam,Book Club Meeting Book club meets Saturday at 9:00 AM. We're discussing 'To Kill a Mockingbird'.,book club meeting book club meets saturday at 9:00 am. we're discussing 'to kill a mockingbird'.,0
URGENT: Account Suspended,Your account will be closed unless you verify: http://scam-site.com,spam,URGENT: Account Suspended Your account will be closed unless you verify: http://scam-site.com,urgent: account suspended your account will be closed unless you verify:,1
Utility Bill,Your electric bill is $118. Due: Nov 25. Pay at utility.com,not spam,Utility Bill Your electric bill is $118. Due: Nov 25. Pay at utility.com,utility bill your electric bill is $118. due: nov 25. pay at utility.com,0
Your Computer Has Virus,URGENT! 30 viruses detected! Fix now: http://scam-site.com,spam,Your Computer Has Virus URGENT! 30 viruses detected! Fix now: http://scam-site.com,your computer has virus urgent! 30 viruses detected! fix now:,1
Cheap Medications,Buy Viagra without prescription! Huge discounts! http://scam-site.com,spam,Cheap Medications Buy Viagra without prescription! Huge discounts! http://scam-site.com,cheap medications buy viagra without prescription! huge discounts!,1
Free Gift Card,You won a $5000 Walmart gift card! Claim: http://scam-site.com,spam,Free Gift Card You won a $5000 Walmart gift card! Claim: http://scam-site.com,free gift card you won a $5000 walmart gift card! claim:,1
Code Review Request,Can you review PR #AA123 when you get a chance? Thanks!,not spam,Code Review Request Can you review PR #AA123 when you get a chance? Thanks!,code review request can you review pr #aa123 when you get a chance? thanks!,0
Book Club Meeting,Book club meets Monday at 2:00 PM. We're discussing '1984'.,not spam,Book Club Meeting Book club meets Monday at 2:00 PM. We're discussing '1984'.,book club meeting book club meets monday at 2:00 pm. we're discussing '1984'.,0
URGENT: Account Suspended,Your account will be closed unless you verify: http://scam-site.com,spam,URGENT: Account Suspended Your account will be closed unless you verify: http://scam-site.com,urgent: account suspended your account will be closed unless you verify:,1
Code Review Request,Can you review PR #AA123 when you get a chance? Thanks!,not spam,Code Review Request Can you review PR #AA123 when you get a chance? Thanks!,code review request can you review pr #aa123 when you get a chance? thanks!,0
Code Review Request,Can you review PR #DL789 when you get a chance? Thanks!,not spam,Code Review Request Can you review PR #DL789 when you get a chance? Thanks!,code review request can you review pr #dl789 when you get a chance? thanks!,0
Book Club Meeting,Book club meets Tuesday at 3:30 PM. We're discussing 'The Great Gatsby'.,not spam,Book Club Meeting Book club meets Tuesday at 3:30 PM. We're discussing 'The Great Gatsby'.,book club meeting book club meets tuesday at 3:30 pm. we're discussing 'the great gatsby'.,0
Code Review Request,Can you review PR #AA123 when you get a chance? Thanks!,not spam,Code Review Request Can you review PR #AA123 when you get a chance? Thanks!,code review request can you review pr #aa123 when you get a chance? thanks!,0
Make Money From Home,Earn $5000 per week working from home! http://scam-site.com,spam,Make Money From Home Earn $5000 per week working from home! http://scam-site.com,make money from home earn $5000 per week working from home!,1
Free iPhone Giveaway,Get a FREE iPhone 15 Pro! Limited time! http://scam-site.com,spam,Free iPhone Giveaway Get a FREE iPhone 15 Pro! Limited time! http://scam-site.com,free iphone giveaway get a free iphone 15 pro! limited time!,1
Happy Birthday,Happy birthday! Hope you have an amazing day! - John,not spam,Happy Birthday Happy birthday! Hope you have an amazing day! - John,happy birthday happy birthday! hope you have an amazing day! - john,0
Gym Membership Renewal,Your gym membership expires Nov 27. Renew at front desk.,not spam,Gym Membership Renewal Your gym membership expires Nov 27. Renew at front desk.,gym membership renewal your gym membership expires nov 27. renew at front desk.,0
WIN BIG MONEY!,You've won $1000000! Click here to claim: http://scam-site.com,spam,WIN BIG MONEY! You've won $1000000! Click here to claim: http://scam-site.com,win big money! you've won $1000000! click here to claim:,1
Project Update,Here's the status update on project Lisa. Review attached.,not spam,Project Update Here's the status update on project Lisa. Review attached.,project update here's the status update on project lisa. review attached.,0
Your Package Delivery Failed,Redeliver your package here: http://scam-site.com,spam,Your Package Delivery Failed Redeliver your package here: http://scam-site.com,your package delivery failed redeliver your package here:,1
Dinner Plans,Want to grab dinner this weekend? Let me know! - Emily,not spam,Dinner Plans Want to grab dinner this weekend? Let me know! - Emily,dinner plans want to grab dinner this weekend? let me know! - emily,0
Tax Refund Available,Claim your $10000 tax refund now: http://scam-site.com,spam,Tax Refund Available Claim your $10000 tax refund now: http://scam-site.com,tax refund available claim your $10000 tax refund now:,1
Work From Home Assembly,Assemble products at home! $35/hour! http://scam-site.com,spam,Work From Home Assembly Assemble products at home! $35/hour! http://scam-site.com,work from home assembly assemble products at home! $35/hour!,1
Recipe Shared,"Here's that apple pie recipe you asked for: apples, sugar, cinnamon",not spam,"Recipe Shared Here's that apple pie recipe you asked for: apples, sugar, cinnamon","recipe shared here's that apple pie recipe you asked for: apples, sugar, cinnamon",0
Dinner Plans,Want to grab dinner Monday? Let me know! - Sarah,not spam,Dinner Plans Want to grab dinner Monday? Let me know! - Sarah,dinner plans want to grab dinner monday? let me know! - sarah,0
Class Reminder,Biology 102 class is at 10:30 AM in room A44. Don't forget homework!,not spam,Class Reminder Biology 102 class is at 10:30 AM in room A44. Don't forget homework!,class reminder biology 102 class is at 10:30 am in room a44. don't forget homework!,0
Bitcoin Investment,Make 50% returns with our crypto bot! http://scam-site.com,spam,Bitcoin Investment Make 50% returns with our crypto bot! http://scam-site.com,bitcoin investment make 50% returns with our crypto bot!,1
