title,text,type
Meeting Reminder,Team meeting tomorrow at 2:00 PM in Room 301. See you there!,not spam
Your Order Confirmation,Order #626792088 confirmed. Delivery: Nov 26. Track: 1Z999AA10123453289,not spam
Meeting Reminder,Team meeting tomorrow at 3:30 PM in Cafeteria. See you there!,not spam
URGENT: Account Suspended,Your account will be closed unless you verify: http://scam-site.com,spam
Lose Weight Fast,Lose 50 pounds in 14 days! No exercise! http://scam-site.com,spam
Free iPhone Giveaway,Get a FREE iPhone 14! Limited time! http://scam-site.com,spam
Project Update,Here's the status update on project John. Review attached.,not spam
WIN BIG MONEY!,You've won $100000! Click here to claim: http://scam-site.com,spam
Parent-Teacher Conference,Conference scheduled Dec 1 at 5:00 PM. Please confirm.,not spam
Tax Refund Available,Claim your $100000 tax refund now: http://scam-site.com,spam
Flight Confirmation,Flight UA456 on Dec 1. JFK to BOS. Seat 12A.,not spam
Cheap Medications,Buy Cialis without prescription! Huge discounts! http://scam-site.com,spam
Your Order Confirmation,Order #935653809 confirmed. Delivery: Dec 5. Track: 1Z999AA10123459935,not spam
Free Gift Card,You won a $100000 Walmart gift card! Claim: http://scam-site.com,spam
Book Club Meeting,Book club meets Friday at 2:00 PM. We're discussing 'To Kill a Mockingbird'.,not spam
Your Order Confirmation,Order #289144425 confirmed. Delivery: Nov 26. Track: 1Z999AA10123456474,not spam
Free Gift Card,You won a $5000 Amazon gift card! Claim: http://scam-site.com,spam
Free Gift Card,You won a $5000 Target gift card! Claim: http://scam-site.com,spam
Enlarge Your Size,Grow 2 inches naturally! Guaranteed! http://scam-site.com,spam
Dinner Plans,Want to grab dinner Monday? Let me know! - Mike,not spam
Weekend Plans,Going hiking this this weekend. Want to join? Meeting at 9:00 AM.,not spam
Lose Weight Fast,Lose 1000 pounds in 30 days! No exercise! http://scam-site.com,spam
Dinner Plans,Want to grab dinner Monday? Let me know! - Mike,not spam
Book Club Meeting,Book club meets Friday at 2:00 PM. We're discussing 'Pride and Prejudice'.,not spam
Free iPhone Giveaway,Get a FREE iPhone 15 Pro! Limited time! http://scam-site.com,spam
URGENT: Account Suspended,Your account will be closed unless you verify: http://scam-site.com,spam
Parent-Teacher Conference,Conference scheduled Dec 5 at 9:00 AM. Please confirm.,not spam
Tax Refund Available,Claim your $1000 tax refund now: http://scam-site.com,spam
Free Gift Card,You won a $25000 Walmart gift card! Claim: http://scam-site.com,spam
Work From Home Assembly,Assemble products at home! $25/hour! http://scam-site.com,spam
Cheap Medications,Buy Cialis without prescription! Huge discounts! http://scam-site.com,spam
Enlarge Your Size,Grow 4 inches naturally! Guaranteed! http://scam-site.com,spam
URGENT: Account Suspended,Your account will be closed unless you verify: http://scam-site.com,spam
Recipe Shared,"Here's that apple pie recipe you asked for: apples, sugar, cinnamon",not spam
Book Club Meeting,Book club meets Saturday at 9:00 AM. We're discussing 'Pride and Prejudice'.,not spam
Lose Weight Fast,Lose 1000 pounds in 30 days! No exercise! http://scam-site.com,spam
Your Package Delivery Failed,Redeliver your package here: http://scam-site.com,spam
Your Package Delivery Failed,Redeliver your package here: http://scam-site.com,spam
Make Money From Home,Earn $10000 per month working from home! http://scam-site.com,spam
Enlarge Your Size,Grow 4 inches naturally! Guaranteed! http://scam-site.com,spam
Tax Refund Available,Claim your $5000 tax refund now: http://scam-site.com,spam
Class Reminder,CS 301 class is at 10:30 AM in room 201. Don't forget homework!,not spam
Your Computer Has Virus,URGENT! 1000 viruses detected! Fix now: http://scam-site.com,spam
Utility Bill,Your gas bill is $167. Due: Nov 27. Pay at paybill.com,not spam
Gym Membership Renewal,Your gym membership expires Nov 27. Renew at front desk.,not spam
Enlarge Your Size,Grow 3 inches naturally! Guaranteed! http://scam-site.com,spam
Bitcoin Investment,Make 300% returns with our crypto bot! http://scam-site.com,spam
Dinner Plans,Want to grab dinner this weekend? Let me know! - Lisa,not spam
Flight Confirmation,Flight DL789 on Dec 5. DFW to MIA. Seat 28B.,not spam
Appointment Reminder,Your appointment with Dr. Smith is on Nov 25 at 5:00 PM.,not spam
Happy Birthday,Happy birthday! Hope you have an amazing day! - Sarah,not spam
Class Reminder,English 201 class is at 3:30 PM in room A44. Don't forget homework!,not spam
Gym Membership Renewal,Your gym membership expires Dec 1. Renew at front desk.,not spam
URGENT: Account Suspended,Your account will be closed unless you verify: http://scam-site.com,spam
WIN BIG MONEY!,You've won $10000! Click here to claim: http://scam-site.com,spam
Work From Home Assembly,Assemble products at home! $45/hour! http://scam-site.com,spam
Work From Home Assembly,Assemble products at home! $35/hour! http://scam-site.com,spam
Weekend Plans,Going hiking this Monday. Want to join? Meeting at 5:00 PM.,not spam
Dinner Plans,Want to grab dinner Saturday? Let me know! - Emily,not spam
Book Club Meeting,Book club meets Tuesday at 10:30 AM. We're discussing 'The Great Gatsby'.,not spam
Bitcoin Investment,Make 200% returns with our crypto bot! http://scam-site.com,spam
Recipe Shared,"Here's that lasagna recipe you asked for: apples, sugar, cinnamon",not spam
Code Review Request,Can you review PR #UA456 when you get a chance? Thanks!,not spam
Hot Singles Near You,Meet 100 singles in your area tonight! http://scam-site.com,spam
Flight Confirmation,Flight UA456 on Dec 5. ORD to MIA. Seat 15B.,not spam
WIN BIG MONEY!,You've won $25000! Click here to claim: http://scam-site.com,spam
WIN BIG MONEY!,You've won $25000! Click here to claim: http://scam-site.com,spam
Hot Singles Near You,Meet 10 singles in your area tonight! http://scam-site.com,spam
Recipe Shared,"Here's that chicken soup recipe you asked for: flour, eggs, milk",not spam
Appointment Reminder,Your appointment with Dr. Brown is on Dec 5 at 9:00 AM.,not spam
Recipe Shared,"Here's that lasagna recipe you asked for: flour, eggs, milk",not spam
Make Money From Home,Earn $100000 per month working from home! http://scam-site.com,spam
Enlarge Your Size,Grow 4 inches naturally! Guaranteed! http://scam-site.com,spam
Your Order Confirmation,Order #137939380 confirmed. Delivery: Dec 1. Track: 1Z999AA10123456233,not spam
Happy Birthday,Happy birthday! Hope you have an amazing day! - John,not spam
Your Order Confirmation,Order #721688973 confirmed. Delivery: Nov 26. Track: 1Z999AA10123459575,not spam
Dinner Plans,Want to grab dinner Saturday? Let me know! - John,not spam
Bitcoin Investment,Make 100% returns with our crypto bot! http://scam-site.com,spam
Free Gift Card,You won a $1000000 Amazon gift card! Claim: http://scam-site.com,spam
Work From Home Assembly,Assemble products at home! $25/hour! http://scam-site.com,spam
Hot Singles Near You,Meet 50 singles in your area tonight! http://scam-site.com,spam
WIN BIG MONEY!,You've won $5000! Click here to claim: http://scam-site.com,spam
Project Update,Here's the status update on project Sarah. Review attached.,not spam
Your Package Delivery Failed,Redeliver your package here: http://scam-site.com,spam
Bitcoin Investment,Make 300% returns with our crypto bot! http://scam-site.com,spam
Meeting Reminder,Team meeting tomorrow at 10:30 AM in Room 301. See you there!,not spam
URGENT: Account Suspended,Your account will be closed unless you verify: http://scam-site.com,spam
Book Club Meeting,Book club meets Monday at 2:00 PM. We're discussing 'To Kill a Mockingbird'.,not spam
Work From Home Assembly,Assemble products at home! $25/hour! http://scam-site.com,spam
Your Computer Has Virus,URGENT! 50 viruses detected! Fix now: http://scam-site.com,spam
Nigerian Prince Email,I need your help transferring $100000. You get 50%!,spam
Code Review Request,Can you review PR #UA456 when you get a chance? Thanks!,not spam
Your Package Delivery Failed,Redeliver your package here: http://scam-site.com,spam
Flight Confirmation,Flight UA456 on Dec 1. JFK to SFO. Seat 30A.,not spam
Gym Membership Renewal,Your gym membership expires Dec 1. Renew at front desk.,not spam
Happy Birthday,Happy birthday! Hope you have an amazing day! - Emily,not spam
WIN BIG MONEY!,You've won $5000! Click here to claim: http://scam-site.com,spam
Bitcoin Investment,Make 200% returns with our crypto bot! http://scam-site.com,spam
Work From Home Assembly,Assemble products at home! $45/hour! http://scam-site.com,spam
Dinner Plans,Want to grab dinner this weekend? Let me know! - John,not spam
Project Update,Here's the status update on project Sarah. Review attached.,not spam
Meeting Reminder,Team meeting tomorrow at 9:00 AM in Conference Room A. See you there!,not spam
Class Reminder,English 201 class is at 10:30 AM in room A44. Don't forget homework!,not spam
Meeting Reminder,Team meeting tomorrow at 2:00 PM in Building B. See you there!,not spam
Gym Membership Renewal,Your gym membership expires Dec 5. Renew at front desk.,not spam
Flight Confirmation,Flight AA123 on Dec 1. JFK to SFO. Seat 15A.,not spam
URGENT: Account Suspended,Your account will be closed unless you verify: http://scam-site.com,spam
Parent-Teacher Conference,Conference scheduled Nov 25 at 9:00 AM. Please confirm.,not spam
Your Order Confirmation,Order #551141859 confirmed. Delivery: Nov 27. Track: 1Z999AA10123457827,not spam
Make Money From Home,Earn $5000 per week working from home! http://scam-site.com,spam
Dinner Plans,Want to grab dinner this weekend? Let me know! - Emily,not spam
Work From Home Assembly,Assemble products at home! $45/hour! http://scam-site.com,spam
Class Reminder,English 201 class is at 3:30 PM in room B12. Don't forget homework!,not spam
Book Club Meeting,Book club meets Tuesday at 9:00 AM. We're discussing 'Pride and Prejudice'.,not spam
Weekend Plans,Going hiking this Monday. Want to join? Meeting at 3:30 PM.,not spam
Free iPhone Giveaway,Get a FREE iPhone 15 Pro! Limited time! http://scam-site.com,spam
Meeting Reminder,Team meeting tomorrow at 10:30 AM in Room 301. See you there!,not spam
Project Update,Here's the status update on project Lisa. Review attached.,not spam
Project Update,Here's the status update on project Alex. Review attached.,not spam
WIN BIG MONEY!,You've won $1000000! Click here to claim: http://scam-site.com,spam
Code Review Request,Can you review PR #DL789 when you get a chance? Thanks!,not spam
Book Club Meeting,Book club meets Friday at 2:00 PM. We're discussing '1984'.,not spam
Meeting Reminder,Team meeting tomorrow at 9:00 AM in Building B. See you there!,not spam
URGENT: Account Suspended,Your account will be closed unless you verify: http://scam-site.com,spam
Your Computer Has Virus,URGENT! 1000 viruses detected! Fix now: http://scam-site.com,spam
Nigerian Prince Email,I need your help transferring $100000. You get 300%!,spam
Happy Birthday,Happy birthday! Hope you have an amazing day! - John,not spam
Free Gift Card,You won a $1000 Walmart gift card! Claim: http://scam-site.com,spam
Happy Birthday,Happy birthday! Hope you have an amazing day! - Lisa,not spam
WIN BIG MONEY!,You've won $5000! Click here to claim: http://scam-site.com,spam
Enlarge Your Size,Grow 4 inches naturally! Guaranteed! http://scam-site.com,spam
Free Gift Card,You won a $1000 Amazon gift card! Claim: http://scam-site.com,spam
Your Order Confirmation,Order #700293580 confirmed. Delivery: Nov 25. Track: 1Z999AA10123456318,not spam
Free iPhone Giveaway,Get a FREE iPhone 15 Pro! Limited time! http://scam-site.com,spam
Class Reminder,CS 301 class is at 2:00 PM in room A44. Don't forget homework!,not spam
Book Club Meeting,Book club meets Monday at 10:30 AM. We're discussing '1984'.,not spam
Utility Bill,Your electric bill is $127. Due: Nov 27. Pay at paybill.com,not spam
Appointment Reminder,Your appointment with Dr. Davis is on Nov 27 at 5:00 PM.,not spam
Free Gift Card,You won a $25000 Amazon gift card! Claim: http://scam-site.com,spam
Free iPhone Giveaway,Get a FREE iPhone 14! Limited time! http://scam-site.com,spam
Cheap Medications,Buy Viagra without prescription! Huge discounts! http://scam-site.com,spam
Bitcoin Investment,Make 100% returns with our crypto bot! http://scam-site.com,spam
Flight Confirmation,Flight UA456 on Dec 5. LAX to MIA. Seat 20B.,not spam
Happy Birthday,Happy birthday! Hope you have an amazing day! - Sarah,not spam
Appointment Reminder,Your appointment with Dr. Smith is on Nov 26 at 3:30 PM.,not spam
Utility Bill,Your water bill is $46. Due: Nov 27. Pay at utility.com,not spam
Project Update,Here's the status update on project Lisa. Review attached.,not spam
Class Reminder,Biology 102 class is at 2:00 PM in room 305. Don't forget homework!,not spam
Your Package Delivery Failed,Redeliver your package here: http://scam-site.com,spam
Appointment Reminder,Your appointment with Dr. Davis is on Dec 1 at 2:00 PM.,not spam
Dinner Plans,Want to grab dinner Monday? Let me know! - Mike,not spam
Utility Bill,Your water bill is $142. Due: Nov 25. Pay at utility.com,not spam
Enlarge Your Size,Grow 4 inches naturally! Guaranteed! http://scam-site.com,spam
Enlarge Your Size,Grow 4 inches naturally! Guaranteed! http://scam-site.com,spam
Hot Singles Near You,Meet 10000 singles in your area tonight! http://scam-site.com,spam
Utility Bill,Your gas bill is $53. Due: Dec 1. Pay at company.gov,not spam
Meeting Reminder,Team meeting tomorrow at 10:30 AM in Room 301. See you there!,not spam
Recipe Shared,"Here's that lasagna recipe you asked for: apples, sugar, cinnamon",not spam
Free Gift Card,You won a $25000 Walmart gift card! Claim: http://scam-site.com,spam
Class Reminder,CS 301 class is at 5:00 PM in room 201. Don't forget homework!,not spam
Parent-Teacher Conference,Conference scheduled Dec 1 at 10:30 AM. Please confirm.,not spam
Gym Membership Renewal,Your gym membership expires Nov 25. Renew at front desk.,not spam
Enlarge Your Size,Grow 4 inches naturally! Guaranteed! http://scam-site.com,spam
Class Reminder,Math 101 class is at 9:00 AM in room A44. Don't forget homework!,not spam
Your Package Delivery Failed,Redeliver your package here: http://scam-site.com,spam
Flight Confirmation,Flight DL789 on Nov 25. LAX to SFO. Seat 16D.,not spam
Free iPhone Giveaway,Get a FREE iPhone 13! Limited time! http://scam-site.com,spam
Class Reminder,Math 101 class is at 5:00 PM in room B12. Don't forget homework!,not spam
Your Package Delivery Failed,Redeliver your package here: http://scam-site.com,spam
Your Package Delivery Failed,Redeliver your package here: http://scam-site.com,spam
Parent-Teacher Conference,Conference scheduled Dec 1 at 9:00 AM. Please confirm.,not spam
Your Computer Has Virus,URGENT! 100 viruses detected! Fix now: http://scam-site.com,spam
Tax Refund Available,Claim your $1000000 tax refund now: http://scam-site.com,spam
Bitcoin Investment,Make 100% returns with our crypto bot! http://scam-site.com,spam
Nigerian Prince Email,I need your help transferring $25000. You get 30%!,spam
Flight Confirmation,Flight AA123 on Dec 1. DFW to MIA. Seat 29C.,not spam
Your Computer Has Virus,URGENT! 20 viruses detected! Fix now: http://scam-site.com,spam
Weekend Plans,Going hiking this Monday. Want to join? Meeting at 3:30 PM.,not spam
Make Money From Home,Earn $1000000 per week working from home! http://scam-site.com,spam
Free iPhone Giveaway,Get a FREE iPhone 13! Limited time! http://scam-site.com,spam
Flight Confirmation,Flight AA123 on Dec 5. DFW to MIA. Seat 19D.,not spam
Gym Membership Renewal,Your gym membership expires Nov 27. Renew at front desk.,not spam
Enlarge Your Size,Grow 3 inches naturally! Guaranteed! http://scam-site.com,spam
Make Money From Home,Earn $10000 per week working from home! http://scam-site.com,spam
Your Computer Has Virus,URGENT! 50 viruses detected! Fix now: http://scam-site.com,spam
Make Money From Home,Earn $5000 per day working from home! http://scam-site.com,spam
WIN BIG MONEY!,You've won $25000! Click here to claim: http://scam-site.com,spam
Your Order Confirmation,Order #250884864 confirmed. Delivery: Nov 26. Track: 1Z999AA10123455368,not spam
Project Update,Here's the status update on project John. Review attached.,not spam
Code Review Request,Can you review PR #UA456 when you get a chance? Thanks!,not spam
URGENT: Account Suspended,Your account will be closed unless you verify: http://scam-site.com,spam
Gym Membership Renewal,Your gym membership expires Nov 27. Renew at front desk.,not spam
Project Update,Here's the status update on project Sarah. Review attached.,not spam
Tax Refund Available,Claim your $5000 tax refund now: http://scam-site.com,spam
Work From Home Assembly,Assemble products at home! $25/hour! http://scam-site.com,spam
Free iPhone Giveaway,Get a FREE iPhone 14! Limited time! http://scam-site.com,spam
Appointment Reminder,Your appointment with Dr. Smith is on Nov 26 at 9:00 AM.,not spam
Bitcoin Investment,Make 30% returns with our crypto bot! http://scam-site.com,spam
Free Gift Card,You won a $1000000 Target gift card! Claim: http://scam-site.com,spam
Your Computer Has Virus,URGENT! 50 viruses detected! Fix now: http://scam-site.com,spam
Cheap Medications,Buy Viagra without prescription! Huge discounts! http://scam-site.com,spam
Cheap Medications,Buy Viagra without prescription! Huge discounts! http://scam-site.com,spam
Tax Refund Available,Claim your $10000 tax refund now: http://scam-site.com,spam
Lose Weight Fast,Lose 30 pounds in 14 days! No exercise! http://scam-site.com,spam
Recipe Shared,"Here's that chicken soup recipe you asked for: chicken, vegetables, broth",not spam
WIN BIG MONEY!,You've won $1000000! Click here to claim: http://scam-site.com,spam
Your Order Confirmation,Order #149091300 confirmed. Delivery: Nov 27. Track: 1Z999AA10123455448,not spam
URGENT: Account Suspended,Your account will be closed unless you verify: http://scam-site.com,spam
Enlarge Your Size,Grow 2 inches naturally! Guaranteed! http://scam-site.com,spam
Class Reminder,Biology 102 class is at 3:30 PM in room B12. Don't forget homework!,not spam
Meeting Reminder,Team meeting tomorrow at 5:00 PM in Building B. See you there!,not spam
Bitcoin Investment,Make 100% returns with our crypto bot! http://scam-site.com,spam
WIN BIG MONEY!,You've won $25000! Click here to claim: http://scam-site.com,spam
Utility Bill,Your electric bill is $97. Due: Nov 27. Pay at company.gov,not spam
Parent-Teacher Conference,Conference scheduled Dec 5 at 10:30 AM. Please confirm.,not spam
Enlarge Your Size,Grow 4 inches naturally! Guaranteed! http://scam-site.com,spam
Happy Birthday,Happy birthday! Hope you have an amazing day! - Sarah,not spam
Happy Birthday,Happy birthday! Hope you have an amazing day! - Alex,not spam
Appointment Reminder,Your appointment with Dr. Davis is on Dec 5 at 9:00 AM.,not spam
WIN BIG MONEY!,You've won $5000! Click here to claim: http://scam-site.com,spam
Class Reminder,Math 101 class is at 9:00 AM in room 201. Don't forget homework!,not spam
Happy Birthday,Happy birthday! Hope you have an amazing day! - Mike,not spam
Appointment Reminder,Your appointment with Dr. Davis is on Nov 27 at 2:00 PM.,not spam
Code Review Request,Can you review PR #DL789 when you get a chance? Thanks!,not spam
Utility Bill,Your gas bill is $132. Due: Dec 5. Pay at utility.com,not spam
Bitcoin Investment,Make 100% returns with our crypto bot! http://scam-site.com,spam
Flight Confirmation,Flight UA456 on Dec 5. LAX to BOS. Seat 26B.,not spam
Tax Refund Available,Claim your $100000 tax refund now: http://scam-site.com,spam
Flight Confirmation,Flight DL789 on Nov 26. DFW to SFO. Seat 3D.,not spam
Lose Weight Fast,Lose 10 pounds in 30 days! No exercise! http://scam-site.com,spam
Utility Bill,Your gas bill is $45. Due: Dec 5. Pay at company.gov,not spam
Code Review Request,Can you review PR #UA456 when you get a chance? Thanks!,not spam
Utility Bill,Your electric bill is $143. Due: Dec 5. Pay at paybill.com,not spam
Utility Bill,Your water bill is $152. Due: Nov 25. Pay at company.gov,not spam
URGENT: Account Suspended,Your account will be closed unless you verify: http://scam-site.com,spam
Utility Bill,Your water bill is $43. Due: Nov 25. Pay at company.gov,not spam
Lose Weight Fast,Lose 50 pounds in 21 days! No exercise! http://scam-site.com,spam
Dinner Plans,Want to grab dinner Friday? Let me know! - Mike,not spam
Cheap Medications,Buy Viagra without prescription! Huge discounts! http://scam-site.com,spam
Class Reminder,Biology 102 class is at 10:30 AM in room A44. Don't forget homework!,not spam
Meeting Reminder,Team meeting tomorrow at 5:00 PM in Building B. See you there!,not spam
URGENT: Account Suspended,Your account will be closed unless you verify: http://scam-site.com,spam
Code Review Request,Can you review PR #DL789 when you get a chance? Thanks!,not spam
Weekend Plans,Going hiking this Monday. Want to join? Meeting at 2:00 PM.,not spam
Bitcoin Investment,Make 30% returns with our crypto bot! http://scam-site.com,spam
Work From Home Assembly,Assemble products at home! $55/hour! http://scam-site.com,spam
Nigerian Prince Email,I need your help transferring $100000. You get 300%!,spam
Your Package Delivery Failed,Redeliver your package here: http://scam-site.com,spam
Free Gift Card,You won a $1000000 Walmart gift card! Claim: http://scam-site.com,spam
Lose Weight Fast,Lose 20 pounds in 30 days! No exercise! http://scam-site.com,spam
Flight Confirmation,Flight UA456 on Nov 26. ORD to SFO. Seat 7A.,not spam
Weekend Plans,Going hiking this Monday. Want to join? Meeting at 9:00 AM.,not spam
URGENT: Account Suspended,Your account will be closed unless you verify: http://scam-site.com,spam
Make Money From Home,Earn $5000 per month working from home! http://scam-site.com,spam
Free Gift Card,You won a $1000000 Walmart gift card! Claim: http://scam-site.com,spam
Code Review Request,Can you review PR #AA123 when you get a chance? Thanks!,not spam
Appointment Reminder,Your appointment with Dr. Davis is on Dec 5 at 2:00 PM.,not spam
Tax Refund Available,Claim your $5000 tax refund now: http://scam-site.com,spam
Enlarge Your Size,Grow 2 inches naturally! Guaranteed! http://scam-site.com,spam
Dinner Plans,Want to grab dinner this weekend? Let me know! - Sarah,not spam
URGENT: Account Suspended,Your account will be closed unless you verify: http://scam-site.com,spam
Hot Singles Near You,Meet 1000 singles in your area tonight! http://scam-site.com,spam
Hot Singles Near You,Meet 50 singles in your area tonight! http://scam-site.com,spam
Hot Singles Near You,Meet 50 singles in your area tonight! http://scam-site.com,spam
Bitcoin Investment,Make 100% returns with our crypto bot! http://scam-site.com,spam
Your Order Confirmation,Order #689054072 confirmed. Delivery: Nov 27. Track: 1Z999AA10123452575,not spam
URGENT: Account Suspended,Your account will be closed unless you verify: http://scam-site.com,spam
Parent-Teacher Conference,Conference scheduled Nov 25 at 3:30 PM. Please confirm.,not spam
Meeting Reminder,Team meeting tomorrow at 5:00 PM in Conference Room A. See you there!,not spam
Bitcoin Investment,Make 100% returns with our crypto bot! http://scam-site.com,spam
Work From Home Assembly,Assemble products at home! $45/hour! http://scam-site.com,spam
Dinner Plans,Want to grab dinner Tuesday? Let me know! - Lisa,not spam
URGENT: Account Suspended,Your account will be closed unless you verify: http://scam-site.com,spam
Utility Bill,Your water bill is $186. Due: Dec 5. Pay at paybill.com,not spam
Lose Weight Fast,Lose 1000 pounds in 7 days! No exercise! http://scam-site.com,spam
Book Club Meeting,Book club meets Tuesday at 2:00 PM. We're discussing '1984'.,not spam
Utility Bill,Your water bill is $79. Due: Dec 5. Pay at utility.com,not spam
Your Package Delivery Failed,Redeliver your package here: http://scam-site.com,spam
Code Review Request,Can you review PR #DL789 when you get a chance? Thanks!,not spam
Nigerian Prince Email,I need your help transferring $1000000. You get 100%!,spam
Appointment Reminder,Your appointment with Dr. Smith is on Nov 25 at 3:30 PM.,not spam
Appointment Reminder,Your appointment with Dr. Smith is on Nov 27 at 9:00 AM.,not spam
Tax Refund Available,Claim your $100000 tax refund now: http://scam-site.com,spam
WIN BIG MONEY!,You've won $25000! Click here to claim: http://scam-site.com,spam
Make Money From Home,Earn $10000 per week working from home! http://scam-site.com,spam
Weekend Plans,Going hiking this Saturday. Want to join? Meeting at 3:30 PM.,not spam
Flight Confirmation,Flight UA456 on Dec 1. ORD to MIA. Seat 26B.,not spam
Your Computer Has Virus,URGENT! 10000 viruses detected! Fix now: http://scam-site.com,spam
Gym Membership Renewal,Your gym membership expires Nov 26. Renew at front desk.,not spam
Parent-Teacher Conference,Conference scheduled Dec 1 at 9:00 AM. Please confirm.,not spam
Book Club Meeting,Book club meets this weekend at 3:30 PM. We're discussing 'Pride and Prejudice'.,not spam
Appointment Reminder,Your appointment with Dr. Williams is on Dec 1 at 9:00 AM.,not spam
Lose Weight Fast,Lose 50 pounds in 30 days! No exercise! http://scam-site.com,spam
WIN BIG MONEY!,You've won $5000! Click here to claim: http://scam-site.com,spam
Nigerian Prince Email,I need your help transferring $5000. You get 50%!,spam
Appointment Reminder,Your appointment with Dr. Smith is on Dec 5 at 2:00 PM.,not spam
Your Package Delivery Failed,Redeliver your package here: http://scam-site.com,spam
Tax Refund Available,Claim your $100000 tax refund now: http://scam-site.com,spam
Tax Refund Available,Claim your $1000 tax refund now: http://scam-site.com,spam
Class Reminder,CS 301 class is at 10:30 AM in room B12. Don't forget homework!,not spam
Code Review Request,Can you review PR #AA123 when you get a chance? Thanks!,not spam
Hot Singles Near You,Meet 10 singles in your area tonight! http://scam-site.com,spam
Make Money From Home,Earn $1000 per month working from home! http://scam-site.com,spam
Book Club Meeting,Book club meets Friday at 10:30 AM. We're discussing 'To Kill a Mockingbird'.,not spam
Weekend Plans,Going hiking this this weekend. Want to join? Meeting at 10:30 AM.,not spam
WIN BIG MONEY!,You've won $1000000! Click here to claim: http://scam-site.com,spam
Class Reminder,Biology 102 class is at 9:00 AM in room A44. Don't forget homework!,not spam
Bitcoin Investment,Make 300% returns with our crypto bot! http://scam-site.com,spam
URGENT: Account Suspended,Your account will be closed unless you verify: http://scam-site.com,spam
Nigerian Prince Email,I need your help transferring $25000. You get 30%!,spam
Hot Singles Near You,Meet 1000 singles in your area tonight! http://scam-site.com,spam
Enlarge Your Size,Grow 2 inches naturally! Guaranteed! http://scam-site.com,spam
Appointment Reminder,Your appointment with Dr. Brown is on Nov 27 at 5:00 PM.,not spam
Lose Weight Fast,Lose 50 pounds in 7 days! No exercise! http://scam-site.com,spam
Tax Refund Available,Claim your $5000 tax refund now: http://scam-site.com,spam
Tax Refund Available,Claim your $100000 tax refund now: http://scam-site.com,spam
Your Computer Has Virus,URGENT! 100 viruses detected! Fix now: http://scam-site.com,spam
Code Review Request,Can you review PR #UA456 when you get a chance? Thanks!,not spam
Happy Birthday,Happy birthday! Hope you have an amazing day! - Lisa,not spam
Class Reminder,CS 301 class is at 9:00 AM in room A44. Don't forget homework!,not spam
WIN BIG MONEY!,You've won $5000! Click here to claim: http://scam-site.com,spam
Make Money From Home,Earn $100000 per week working from home! http://scam-site.com,spam
Work From Home Assembly,Assemble products at home! $45/hour! http://scam-site.com,spam
Free Gift Card,You won a $1000000 Target gift card! Claim: http://scam-site.com,spam
Dinner Plans,Want to grab dinner Tuesday? Let me know! - Alex,not spam
Free Gift Card,You won a $1000000 Walmart gift card! Claim: http://scam-site.com,spam
Tax Refund Available,Claim your $1000 tax refund now: http://scam-site.com,spam
Appointment Reminder,Your appointment with Dr. Williams is on Nov 27 at 9:00 AM.,not spam
Utility Bill,Your electric bill is $188. Due: Nov 25. Pay at paybill.com,not spam
Weekend Plans,Going hiking this Friday. Want to join? Meeting at 5:00 PM.,not spam
Gym Membership Renewal,Your gym membership expires Nov 27. Renew at front desk.,not spam
Dinner Plans,Want to grab dinner Tuesday? Let me know! - Alex,not spam
Cheap Medications,Buy Xanax without prescription! Huge discounts! http://scam-site.com,spam
Your Package Delivery Failed,Redeliver your package here: http://scam-site.com,spam
Free iPhone Giveaway,Get a FREE iPhone 13! Limited time! http://scam-site.com,spam
Make Money From Home,Earn $5000 per day working from home! http://scam-site.com,spam
Free Gift Card,You won a $100000 Walmart gift card! Claim: http://scam-site.com,spam
Gym Membership Renewal,Your gym membership expires Nov 25. Renew at front desk.,not spam
Project Update,Here's the status update on project Alex. Review attached.,not spam
Meeting Reminder,Team meeting tomorrow at 9:00 AM in Room 301. See you there!,not spam
Class Reminder,English 201 class is at 5:00 PM in room 201. Don't forget homework!,not spam
Your Computer Has Virus,URGENT! 100 viruses detected! Fix now: http://scam-site.com,spam
Utility Bill,Your water bill is $94. Due: Nov 25. Pay at paybill.com,not spam
Class Reminder,Math 101 class is at 3:30 PM in room 305. Don't forget homework!,not spam
Free Gift Card,You won a $1000000 Walmart gift card! Claim: http://scam-site.com,spam
Bitcoin Investment,Make 50% returns with our crypto bot! http://scam-site.com,spam
Tax Refund Available,Claim your $5000 tax refund now: http://scam-site.com,spam
Enlarge Your Size,Grow 4 inches naturally! Guaranteed! http://scam-site.com,spam
Lose Weight Fast,Lose 30 pounds in 21 days! No exercise! http://scam-site.com,spam
Utility Bill,Your electric bill is $82. Due: Nov 27. Pay at company.gov,not spam
Book Club Meeting,Book club meets Monday at 10:30 AM. We're discussing 'Pride and Prejudice'.,not spam
Meeting Reminder,Team meeting tomorrow at 5:00 PM in Conference Room A. See you there!,not spam
Tax Refund Available,Claim your $1000000 tax refund now: http://scam-site.com,spam
Your Order Confirmation,Order #352053466 confirmed. Delivery: Nov 27. Track: 1Z999AA10123453799,not spam
Work From Home Assembly,Assemble products at home! $35/hour! http://scam-site.com,spam
Work From Home Assembly,Assemble products at home! $35/hour! http://scam-site.com,spam
Free iPhone Giveaway,Get a FREE iPhone 15 Pro! Limited time! http://scam-site.com,spam
